Date,Depth,Velocity E [cm/s],Velocity N [cm/s],Magnitude [cm/s],Direction [Degrees]
18/06/2024 07:00,2,-0.61,-9.37,9.39,183.7
18/06/2024 07:00,3,-0.83,-10.73,10.77,184.4
18/06/2024 07:00,4,-0.09,-11.1,11.1,180.5
18/06/2024 07:00,5,0.91,-13.36,13.39,176.1
18/06/2024 07:00,6,1.69,-15.95,16.04,173.9
18/06/2024 07:00,7,-0.09,-14.01,14.01,180.4
18/06/2024 07:00,8,0.19,-8.71,8.71,178.8
18/06/2024 07:00,9,-1.44,0.59,1.56,292.4
18/06/2024 07:00,10,-1.62,2.41,2.91,326.1
18/06/2024 07:00,11,-1.43,0.57,1.54,291.7
18/06/2024 07:00,12,-1.67,-0.37,1.71,257.4
18/06/2024 07:00,13,0.52,0.34,0.62,56.8
18/06/2024 07:00,14,3.23,1.71,3.65,62
18/06/2024 07:00,15,4.96,3.87,6.29,52.1
18/06/2024 07:00,16,5.67,5,7.56,48.6
18/06/2024 08:00,2,0.33,-8.18,8.19,177.7
18/06/2024 08:00,3,0.55,-9.67,9.68,176.7
18/06/2024 08:00,4,0.85,-10.57,10.6,175.4
18/06/2024 08:00,5,1.69,-13.17,13.28,172.7
18/06/2024 08:00,6,2.82,-15.81,16.06,169.9
18/06/2024 08:00,7,0.73,-13.83,13.85,177
18/06/2024 08:00,8,1.3,-7.29,7.41,169.9
18/06/2024 08:00,9,-0.39,1.65,1.7,346.8
18/06/2024 08:00,10,-2.4,0.89,2.56,290.3
18/06/2024 08:00,11,-3.75,-0.93,3.86,256
18/06/2024 08:00,12,-2.41,-1.47,2.83,238.6
18/06/2024 08:00,13,-0.28,0.41,0.5,325.9
18/06/2024 08:00,14,2.06,3.33,3.91,31.8
18/06/2024 08:00,15,3.43,4.72,5.84,36
18/06/2024 08:00,16,3.48,6.16,7.08,29.5
18/06/2024 09:00,2,1.67,-8.03,8.21,168.2
18/06/2024 09:00,3,1.33,-9.27,9.37,171.9
18/06/2024 09:00,4,1.15,-10.43,10.49,173.7
18/06/2024 09:00,5,1.47,-13.02,13.1,173.5
18/06/2024 09:00,6,1.73,-15.43,15.52,173.6
18/06/2024 09:00,7,-0.38,-13.35,13.36,181.6
18/06/2024 09:00,8,0.09,-6.78,6.78,179.3
18/06/2024 09:00,9,0.1,0.41,0.43,13.6
18/06/2024 09:00,10,-1.87,0.1,1.88,273.1
18/06/2024 09:00,11,-2.69,-1.81,3.25,236
18/06/2024 09:00,12,-0.89,-0.61,1.08,235.3
18/06/2024 09:00,13,0.36,2.57,2.6,8
18/06/2024 09:00,14,2.16,4.67,5.15,24.8
18/06/2024 09:00,15,3.58,6.56,7.47,28.6
18/06/2024 09:00,16,1.78,5.68,5.95,17.4
18/06/2024 10:00,2,2.53,-7.71,8.11,161.8
18/06/2024 10:00,3,2.34,-9.27,9.56,165.8
18/06/2024 10:00,4,1.81,-10.11,10.27,169.9
18/06/2024 10:00,5,2.27,-12.65,12.85,169.8
18/06/2024 10:00,6,2.58,-15.46,15.67,170.5
18/06/2024 10:00,7,0.5,-15.06,15.07,178.1
18/06/2024 10:00,8,-0.22,-8.73,8.73,181.4
18/06/2024 10:00,9,-0.03,-0.25,0.26,187.5
18/06/2024 10:00,10,0.09,0.48,0.49,10.2
18/06/2024 10:00,11,-1.95,-1.29,2.33,236.5
18/06/2024 10:00,12,-1,-1.35,1.68,216.5
18/06/2024 10:00,13,-0.48,1.28,1.37,339.4
18/06/2024 10:00,14,0.75,3.75,3.83,11.3
18/06/2024 10:00,15,1.71,5.43,5.7,17.4
18/06/2024 10:00,16,0.19,4.53,4.53,2.4
18/06/2024 11:00,2,3.01,-8.48,9,160.4
18/06/2024 11:00,3,2.29,-9.15,9.43,166
18/06/2024 11:00,4,1.11,-10.01,10.07,173.7
18/06/2024 11:00,5,0.26,-12.38,12.38,178.8
18/06/2024 11:00,6,1.04,-15.29,15.33,176.1
18/06/2024 11:00,7,0.21,-15.9,15.9,179.2
18/06/2024 11:00,8,-0.47,-10.67,10.68,182.5
18/06/2024 11:00,9,0.85,-1.85,2.04,155.3
18/06/2024 11:00,10,0.89,-0.64,1.09,125.8
18/06/2024 11:00,11,-0.95,-1.47,1.75,213
18/06/2024 11:00,12,-0.17,-0.36,0.4,204.8
18/06/2024 11:00,13,0.32,1.45,1.49,12.4
18/06/2024 11:00,14,1.29,3.14,3.39,22.3
18/06/2024 11:00,15,0.47,4.75,4.78,5.6
18/06/2024 11:00,16,-0.5,5.98,6,355.2
18/06/2024 12:00,2,2.43,-9.51,9.81,165.6
18/06/2024 12:00,3,2.77,-9.57,9.97,163.9
18/06/2024 12:00,4,0.97,-9.51,9.56,174.2
18/06/2024 12:00,5,-0.87,-9.8,9.84,185.1
18/06/2024 12:00,6,-0.87,-13.01,13.04,183.8
18/06/2024 12:00,7,0.19,-14.65,14.65,179.3
18/06/2024 12:00,8,-0.75,-11.85,11.88,183.6
18/06/2024 12:00,9,-1.29,-3.53,3.75,200
18/06/2024 12:00,10,0.1,-2.26,2.26,177.5
18/06/2024 12:00,11,-0.23,-2.59,2.6,185
18/06/2024 12:00,12,-0.47,-0.24,0.52,242.8
18/06/2024 12:00,13,0.66,1.98,2.09,18.4
18/06/2024 12:00,14,0.89,1.97,2.16,24.3
18/06/2024 12:00,15,1.27,2.97,3.23,23.2
18/06/2024 12:00,16,0.33,5.11,5.12,3.7
18/06/2024 13:00,2,2.63,-9.81,10.16,165
18/06/2024 13:00,3,3.04,-8.96,9.46,161.3
18/06/2024 13:00,4,0.81,-9.03,9.06,174.9
18/06/2024 13:00,5,-1.01,-8.67,8.73,186.7
18/06/2024 13:00,6,-1.74,-9.92,10.07,189.9
18/06/2024 13:00,7,-0.75,-12.11,12.13,183.5
18/06/2024 13:00,8,-1.05,-10.85,10.9,185.5
18/06/2024 13:00,9,-1.71,-3.33,3.74,207.2
18/06/2024 13:00,10,0.27,-2.29,2.3,173.2
18/06/2024 13:00,11,-0.03,-4.01,4.01,180.4
18/06/2024 13:00,12,1.19,-1.46,1.89,140.7
18/06/2024 13:00,13,0.97,0.9,1.33,47.2
18/06/2024 13:00,14,0.85,1.69,1.89,26.7
18/06/2024 13:00,15,1.06,2.78,2.98,20.9
18/06/2024 13:00,16,1.68,4.4,4.71,20.9
18/06/2024 14:00,2,2.63,-10.15,10.48,165.5
18/06/2024 14:00,3,2.08,-8.97,9.2,166.9
18/06/2024 14:00,4,0.03,-7.99,7.99,179.8
18/06/2024 14:00,5,-1.22,-7.12,7.22,189.7
18/06/2024 14:00,6,-2.06,-6.65,6.96,197.2
18/06/2024 14:00,7,-1.15,-8.85,8.92,187.4
18/06/2024 14:00,8,-0.15,-8.16,8.16,181
18/06/2024 14:00,9,0.64,-2.37,2.46,164.9
18/06/2024 14:00,10,0.71,-3.62,3.69,169
18/06/2024 14:00,11,1.45,-3.78,4.05,159.1
18/06/2024 14:00,12,2.7,-1.54,3.11,119.7
18/06/2024 14:00,13,2.1,0.39,2.14,79.4
18/06/2024 14:00,14,1.49,0.74,1.67,63.6
18/06/2024 14:00,15,1.28,1.59,2.04,38.9
18/06/2024 14:00,16,0.99,2.75,2.92,19.7
18/06/2024 15:00,2,1.33,-9.08,9.18,171.6
18/06/2024 15:00,3,1.63,-8.81,8.96,169.5
18/06/2024 15:00,4,0.19,-8.03,8.03,178.7
18/06/2024 15:00,5,-0.88,-6.41,6.47,187.8
18/06/2024 15:00,6,-1.33,-5.24,5.41,194.3
18/06/2024 15:00,7,-1.07,-6.9,6.98,188.8
18/06/2024 15:00,8,0.31,-5.74,5.75,176.9
18/06/2024 15:00,9,-0.03,-3.03,3.03,180.5
18/06/2024 15:00,10,-2.79,-5,5.72,209.1
18/06/2024 15:00,11,-0.33,-2.68,2.7,187.1
18/06/2024 15:00,12,1.49,-1.55,2.15,136.1
18/06/2024 15:00,13,1.87,-0.27,1.89,98.3
18/06/2024 15:00,14,1.22,0.43,1.29,70.4
18/06/2024 15:00,15,0.73,0.98,1.22,36.8
18/06/2024 15:00,16,0,2.13,2.13,0
18/06/2024 16:00,2,2.65,-6.99,7.47,159.3
18/06/2024 16:00,3,-0.17,-7.12,7.12,181.4
18/06/2024 16:00,4,-0.21,-6.83,6.84,181.7
18/06/2024 16:00,5,-1.91,-6.21,6.5,197.1
18/06/2024 16:00,6,-2.49,-3.33,4.15,216.8
18/06/2024 16:00,7,-2.91,-1.69,3.37,239.9
18/06/2024 16:00,8,-2.02,-3.27,3.84,211.7
18/06/2024 16:00,9,-1.27,-2.2,2.54,210.1
18/06/2024 16:00,10,-1.81,-3.42,3.87,207.9
18/06/2024 16:00,11,-1.25,-2.53,2.83,206.3
18/06/2024 16:00,12,0.19,-1.14,1.16,170.4
18/06/2024 16:00,13,1.02,-0.99,1.42,134
18/06/2024 16:00,14,0.47,-0.25,0.53,117.5
18/06/2024 16:00,15,0.25,-0.15,0.29,121.9
18/06/2024 16:00,16,-0.42,0.97,1.06,336.7
18/06/2024 17:00,2,2.27,-5.64,6.08,158.1
18/06/2024 17:00,3,-0.79,-5.83,5.89,187.7
18/06/2024 17:00,4,-1.59,-5.69,5.91,195.7
18/06/2024 17:00,5,-1.32,-5.02,5.19,194.7
