time,Depth,Velocity E [cm/s],Velocity N [cm/s],Magnitude [cm/s],Direction [Degrees],source_file
02/01/2024 08:00,9,-2.161186441,-1.90559322,6.29779661,216.8779661,KNW02_Currents.csv
02/01/2024 09:00,9,0.368813559,-1.169830508,3.702542373,181.5864407,KNW02_Currents.csv
02/01/2024 10:00,9,0.855762712,-0.570508475,3.801694915,164.7745763,KNW02_Currents.csv
02/01/2024 11:00,9,0.23440678,-0.350169492,3.558813559,182.2271186,KNW02_Currents.csv
02/01/2024 12:00,9,-0.390508475,-1.378474576,3.702542373,190.5050847,KNW02_Currents.csv
02/01/2024 13:00,9,-0.459152542,-0.491864407,3.43440678,194.1610169,KNW02_Currents.csv
02/01/2024 14:00,9,0.015932203,-0.394237288,3.499491525,189.3949153,KNW02_Currents.csv
02/01/2024 15:00,9,0.247627119,-1.006610169,3.573559322,163.3033898,KNW02_Currents.csv
02/01/2024 16:00,9,0.367966102,-1.710508475,4.36,181.6525424,KNW02_Currents.csv
02/01/2024 17:00,9,1.652033898,-1.412372881,4.759322034,139.3576271,KNW02_Currents.csv
02/01/2024 18:00,9,0.865423729,-0.740169492,4.444237288,146.9949153,KNW02_Currents.csv
02/01/2024 19:00,9,0.014915254,-1.55440678,4.36559322,177.3932203,KNW02_Currents.csv
02/01/2024 20:00,9,0.034745763,-1.271355932,4.389661017,190.3067797,KNW02_Currents.csv
02/01/2024 21:00,9,0.439491525,-0.916779661,4.106271186,168.4694915,KNW02_Currents.csv
02/01/2024 22:00,9,-0.262711864,-0.591864407,3.666271186,175.7559322,KNW02_Currents.csv
02/01/2024 23:00,9,0.881186441,-0.390338983,3.911355932,169.7694915,KNW02_Currents.csv
03/01/2024 00:00,9,0.532033898,-3.69220339,4.957627119,171.8186441,KNW02_Currents.csv
03/01/2024 01:00,9,0.273389831,-3.186101695,4.675084746,177.6152542,KNW02_Currents.csv
03/01/2024 02:00,9,0.683389831,-4.046949153,5.306101695,173.6508475,KNW02_Currents.csv
