time,Depth,Velocity E [cm/s],Velocity N [cm/s],Magnitude [cm/s],Direction [Degrees],source_file
02/01/2024 08:00,9,-2.161186441,-1.90559322,2.881,228.596,KNW02_Currents.csv
02/01/2024 09:00,9,0.368813559,-1.169830508,1.227,162.501,KNW02_Currents.csv
02/01/2024 10:00,9,0.855762712,-0.570508475,1.028,123.69,KNW02_Currents.csv
02/01/2024 11:00,9,0.23440678,-0.350169492,0.421,146.201,KNW02_Currents.csv
02/01/2024 12:00,9,-0.390508475,-1.378474576,1.433,195.817,KNW02_Currents.csv
02/01/2024 13:00,9,-0.459152542,-0.491864407,0.673,223.03,KNW02_Currents.csv
02/01/2024 14:00,9,0.015932203,-0.394237288,0.395,177.686,KNW02_Currents.csv
02/01/2024 15:00,9,0.247627119,-1.006610169,1.037,166.18,KNW02_Currents.csv
02/01/2024 16:00,9,0.367966102,-1.710508475,1.75,167.859,KNW02_Currents.csv
02/01/2024 17:00,9,1.652033898,-1.412372881,2.173,130.528,KNW02_Currents.csv
02/01/2024 18:00,9,0.865423729,-0.740169492,1.139,130.539,KNW02_Currents.csv
02/01/2024 19:00,9,0.014915254,-1.55440678,1.554,179.45,KNW02_Currents.csv
02/01/2024 20:00,9,0.034745763,-1.271355932,1.272,178.435,KNW02_Currents.csv
02/01/2024 21:00,9,0.439491525,-0.916779661,1.017,154.388,KNW02_Currents.csv
02/01/2024 22:00,9,-0.262711864,-0.591864407,0.648,203.935,KNW02_Currents.csv
02/01/2024 23:00,9,0.881186441,-0.390338983,0.964,113.892,KNW02_Currents.csv
03/01/2024 00:00,9,0.532033898,-3.69220339,3.73,171.8,KNW02_Currents.csv
03/01/2024 01:00,9,0.273389831,-3.186101695,3.198,175.096,KNW02_Currents.csv
03/01/2024 02:00,9,0.683389831,-4.046949153,4.104,170.415,KNW02_Currents.csv
03/01/2024 03:00,9,-0.010847458,-5.24220339,5.242,180.119,KNW02_Currents.csv
03/01/2024 04:00,9,-1.373898305,-6.198474576,6.349,192.498,KNW02_Currents.csv
03/01/2024 05:00,9,-1.686271186,-7.114237288,7.311,193.335,KNW02_Currents.csv
03/01/2024 06:00,9,0.346101695,-7.183728814,7.192,177.242,KNW02_Currents.csv
03/01/2024 07:00,9,-0.284745763,-7.001525424,7.007,182.329,KNW02_Currents.csv
03/01/2024 08:00,9,1.526101695,-7.832711864,7.98,168.975,KNW02_Currents.csv
03/01/2024 09:00,9,1.34559322,-7.243220339,7.367,169.476,KNW02_Currents.csv
03/01/2024 10:00,9,-1.100677966,-4.102542373,4.248,195.018,KNW02_Currents.csv
03/01/2024 11:00,9,0.278813559,-5.922033898,5.929,177.304,KNW02_Currents.csv
03/01/2024 12:00,9,2.18220339,-6.740508475,7.085,162.061,KNW02_Currents.csv
03/01/2024 13:00,9,1.219322034,-6.870508475,6.978,169.936,KNW02_Currents.csv
03/01/2024 14:00,9,0.505084746,-5.034915254,5.06,174.271,KNW02_Currents.csv
03/01/2024 15:00,9,1.066101695,-5.091694915,5.202,168.174,KNW02_Currents.csv
03/01/2024 16:00,9,1.404237288,-5.376610169,5.557,165.363,KNW02_Currents.csv
03/01/2024 17:00,9,0.102033898,-7.073220339,7.074,179.174,KNW02_Currents.csv
03/01/2024 18:00,9,0.199491525,-6.812542373,6.815,178.323,KNW02_Currents.csv
03/01/2024 19:00,9,-0.09779661,-6.825254237,6.826,180.821,KNW02_Currents.csv
03/01/2024 20:00,9,1.279830508,-7.145932203,7.26,169.846,KNW02_Currents.csv
03/01/2024 21:00,9,0.17220339,-8.217457627,8.219,178.799,KNW02_Currents.csv
03/01/2024 22:00,9,-0.237288136,-7.904576271,7.908,181.719,KNW02_Currents.csv
03/01/2024 23:00,9,0.799152542,-6.946440678,6.992,173.437,KNW02_Currents.csv
04/01/2024 00:00,9,0.79440678,0.533050847,0.957,56.138,KNW02_Currents.csv
04/01/2024 01:00,9,0.611525424,0.267288136,0.667,66.391,KNW02_Currents.csv
04/01/2024 02:00,9,1.69,0.909830508,1.919,61.704,KNW02_Currents.csv
04/01/2024 03:00,9,0.792542373,-0.244067797,0.829,107.117,KNW02_Currents.csv
04/01/2024 04:00,9,0.873220339,-0.333389831,0.935,110.897,KNW02_Currents.csv
04/01/2024 05:00,9,0.282542373,0.097627119,0.299,70.938,KNW02_Currents.csv
04/01/2024 06:00,9,0.056949153,0.260847458,0.267,12.316,KNW02_Currents.csv
04/01/2024 07:00,9,0.303728814,1.145932203,1.186,14.845,KNW02_Currents.csv
04/01/2024 08:00,9,-0.206610169,1.825932203,1.838,353.544,KNW02_Currents.csv
04/01/2024 09:00,9,-0.820666667,2.419333333,2.555,341.262,KNW03_Currents.csv
04/01/2024 10:00,9,-0.648,2.327333333,2.416,344.441,KNW03_Currents.csv
04/01/2024 11:00,9,1.369333333,1.948666667,2.382,35.096,KNW03_Currents.csv
04/01/2024 12:00,9,2.067333333,0.904,2.256,66.381,KNW03_Currents.csv
04/01/2024 13:00,9,2.469333333,0.983333333,2.658,68.287,KNW03_Currents.csv
04/01/2024 14:00,9,0.292666667,0.664666667,0.726,23.765,KNW03_Currents.csv
04/01/2024 15:00,9,0.222,0.871333333,0.899,14.294,KNW03_Currents.csv
04/01/2024 16:00,9,0.508666667,1.148,1.256,23.898,KNW03_Currents.csv
04/01/2024 17:00,9,0.404,0.806666667,0.902,26.603,KNW03_Currents.csv
04/01/2024 18:00,9,0.675333333,0.274666667,0.729,67.868,KNW03_Currents.csv
04/01/2024 19:00,9,0.528666667,-0.194,0.563,110.151,KNW03_Currents.csv
04/01/2024 20:00,9,0.641333333,-0.204666667,0.673,107.699,KNW03_Currents.csv
04/01/2024 21:00,9,0.570666667,0.002,0.571,89.799,KNW03_Currents.csv
04/01/2024 22:00,9,0.413333333,0.133333333,0.434,72.121,KNW03_Currents.csv
04/01/2024 23:00,9,0.340666667,-0.116,0.36,108.804,KNW03_Currents.csv
05/01/2024 00:00,9,0.469333333,0.927333333,1.039,26.844,KNW03_Currents.csv
05/01/2024 01:00,9,0.276666667,0.849333333,0.893,18.043,KNW03_Currents.csv
05/01/2024 02:00,9,0.495333333,0.294666667,0.576,59.252,KNW03_Currents.csv
05/01/2024 03:00,9,0.237333333,0.312,0.392,37.26,KNW03_Currents.csv
05/01/2024 04:00,9,0.43,0.876,0.976,26.145,KNW03_Currents.csv
05/01/2024 05:00,9,0.286666667,1.554666667,1.581,10.447,KNW03_Currents.csv
05/01/2024 06:00,9,0.046666667,3.304,3.304,0.809,KNW03_Currents.csv
05/01/2024 07:00,9,0.599333333,3.462,3.513,9.822,KNW03_Currents.csv
05/01/2024 08:00,9,0.257333333,3.939333333,3.948,3.737,KNW03_Currents.csv
05/01/2024 09:00,9,0.276,3.262,3.274,4.836,KNW03_Currents.csv
05/01/2024 10:00,9,0.526,2.304666667,2.364,12.857,KNW03_Currents.csv
05/01/2024 11:00,9,0.700666667,1.888,2.014,20.361,KNW03_Currents.csv
05/01/2024 12:00,9,0.512666667,1.172666667,1.28,23.614,KNW03_Currents.csv
05/01/2024 13:00,9,-0.324666667,0.653333333,0.73,333.575,KNW03_Currents.csv
05/01/2024 14:00,9,-0.55,-0.418,0.691,232.765,KNW03_Currents.csv
05/01/2024 15:00,9,-0.346,-1.380666667,1.423,194.069,KNW03_Currents.csv
05/01/2024 16:00,9,0.282666667,-2.088,2.107,172.29,KNW03_Currents.csv
05/01/2024 17:00,9,0.993333333,-1.442666667,1.752,145.451,KNW03_Currents.csv
05/01/2024 18:00,9,0.878,-1.824666667,2.025,154.304,KNW03_Currents.csv
05/01/2024 19:00,9,1.197333333,-2.026666667,2.354,149.426,KNW03_Currents.csv
05/01/2024 20:00,9,1.687333333,-1.455333333,2.228,130.778,KNW03_Currents.csv
05/01/2024 21:00,9,1.494666667,-1.515333333,2.128,135.393,KNW03_Currents.csv
05/01/2024 22:00,9,1.066,-1.27,1.658,139.991,KNW03_Currents.csv
05/01/2024 23:00,9,0.609333333,-0.844666667,1.042,144.194,KNW03_Currents.csv
06/01/2024 00:00,9,-0.036666667,0.61,0.611,356.56,KNW03_Currents.csv
06/01/2024 01:00,9,0.058666667,3.902,3.902,0.861,KNW03_Currents.csv
06/01/2024 02:00,9,0.080666667,6.683333333,6.684,0.692,KNW03_Currents.csv
06/01/2024 03:00,9,0.524666667,6.712,6.732,4.47,KNW03_Currents.csv
06/01/2024 04:00,9,0.074666667,5.742666667,5.743,0.745,KNW03_Currents.csv
06/01/2024 05:00,9,0.13,5.038,5.04,1.478,KNW03_Currents.csv
06/01/2024 06:00,9,0.859333333,4.096666667,4.186,11.847,KNW03_Currents.csv
06/01/2024 07:00,9,0.858666667,2.452666667,2.599,19.295,KNW03_Currents.csv
06/01/2024 08:00,9,1.001333333,1.412,1.731,35.343,KNW03_Currents.csv
06/01/2024 09:00,9,1.061333333,1.480666667,1.822,35.633,KNW03_Currents.csv
06/01/2024 10:00,9,0.724666667,1.249333333,1.444,30.116,KNW03_Currents.csv
06/01/2024 11:00,9,0.339333333,1.001333333,1.057,18.721,KNW03_Currents.csv
06/01/2024 12:00,9,0.262666667,0.321333333,0.415,39.264,KNW03_Currents.csv
06/01/2024 13:00,9,0.534,-0.161333333,0.558,106.811,KNW03_Currents.csv
06/01/2024 14:00,9,0.814,0.0,0.814,90.0,KNW03_Currents.csv
06/01/2024 15:00,9,1.599333333,0.744666667,1.764,65.033,KNW03_Currents.csv
06/01/2024 16:00,9,1.387333333,0.78,1.592,60.654,KNW03_Currents.csv
06/01/2024 17:00,9,1.333333333,0.474666667,1.415,70.404,KNW03_Currents.csv
06/01/2024 18:00,9,0.755333333,-0.094666667,0.761,97.144,KNW03_Currents.csv
06/01/2024 19:00,9,0.754666667,-0.497333333,0.904,123.385,KNW03_Currents.csv
06/01/2024 20:00,9,0.212666667,-1.114666667,1.135,169.198,KNW03_Currents.csv
06/01/2024 21:00,9,0.261333333,-1.190666667,1.219,167.621,KNW03_Currents.csv
06/01/2024 22:00,9,0.176,-1.152666667,1.166,171.319,KNW03_Currents.csv
06/01/2024 23:00,9,0.209333333,-0.862,0.887,166.35,KNW03_Currents.csv
07/01/2024 00:00,9,0.222,0.516,0.562,23.279,KNW04_Currents.csv
07/01/2024 01:00,9,0.303333333,-0.564666667,0.641,151.756,KNW04_Currents.csv
07/01/2024 02:00,9,0.522,-0.859333333,1.005,148.724,KNW04_Currents.csv
07/01/2024 03:00,9,0.194,-0.764666667,0.789,165.764,KNW04_Currents.csv
07/01/2024 04:00,9,0.238666667,-0.889333333,0.921,164.978,KNW04_Currents.csv
07/01/2024 05:00,9,0.158,-1.178666667,1.189,172.365,KNW04_Currents.csv
07/01/2024 06:00,9,-0.257333333,-1.689333333,1.709,188.661,KNW04_Currents.csv
07/01/2024 07:00,9,-0.520666667,-1.786666667,1.861,196.247,KNW04_Currents.csv
07/01/2024 08:00,9,-0.562,-2.082,2.157,195.106,KNW04_Currents.csv
07/01/2024 09:00,9,-0.988,-1.947333333,2.184,206.901,KNW04_Currents.csv
07/01/2024 10:00,9,-1.466666667,-1.313333333,1.969,228.157,KNW04_Currents.csv
07/01/2024 11:00,9,-1.286,1.122666667,1.707,311.121,KNW04_Currents.csv
07/01/2024 12:00,9,-0.438,1.946,1.995,347.315,KNW04_Currents.csv
07/01/2024 13:00,9,-0.145333333,1.44,1.447,354.237,KNW04_Currents.csv
07/01/2024 14:00,9,0.296666667,2.042666667,2.064,8.264,KNW04_Currents.csv
07/01/2024 15:00,9,0.296666667,2.728,2.744,6.206,KNW04_Currents.csv
07/01/2024 16:00,9,-0.472,4.03,4.058,353.32,KNW04_Currents.csv
07/01/2024 17:00,9,-0.304,7.369333333,7.376,357.638,KNW04_Currents.csv
07/01/2024 18:00,9,0.372,9.609333333,9.617,2.217,KNW04_Currents.csv
07/01/2024 19:00,9,1.135333333,8.871333333,8.944,7.293,KNW04_Currents.csv
07/01/2024 20:00,9,1.648,7.448666667,7.629,12.476,KNW04_Currents.csv
07/01/2024 21:00,9,1.016,6.091333333,6.175,9.469,KNW04_Currents.csv
07/01/2024 22:00,9,1.878666667,4.406666667,4.79,23.09,KNW04_Currents.csv
07/01/2024 23:00,9,1.612,3.872666667,4.195,22.6,KNW04_Currents.csv
08/01/2024 00:00,9,0.369333333,-1.856,1.892,168.745,KNW05_Currents.csv
08/01/2024 01:00,9,0.378,-1.365333333,1.417,164.525,KNW05_Currents.csv
08/01/2024 02:00,9,0.708,-0.372,0.8,117.719,KNW05_Currents.csv
08/01/2024 03:00,9,0.782,-0.393333333,0.875,116.702,KNW05_Currents.csv
08/01/2024 04:00,9,0.748,-0.922666667,1.188,140.969,KNW05_Currents.csv
08/01/2024 05:00,9,0.652,-1.540666667,1.673,157.062,KNW05_Currents.csv
08/01/2024 06:00,9,0.602,-1.633333333,1.741,159.768,KNW05_Currents.csv
08/01/2024 07:00,9,0.372,-1.741333333,1.781,167.941,KNW05_Currents.csv
08/01/2024 08:00,9,0.508,-1.39,1.48,159.924,KNW05_Currents.csv
08/01/2024 09:00,9,0.652,-1.139333333,1.313,150.219,KNW05_Currents.csv
08/01/2024 10:00,9,0.743333333,-0.774666667,1.074,136.182,KNW05_Currents.csv
08/01/2024 11:00,9,0.039333333,-0.962,0.963,177.659,KNW05_Currents.csv
08/01/2024 12:00,9,-2.062,-0.867333333,2.237,247.187,KNW05_Currents.csv
08/01/2024 13:00,9,-2.058666667,-0.445333333,2.106,257.794,KNW05_Currents.csv
08/01/2024 14:00,9,-0.253333333,-0.374666667,0.452,214.065,KNW05_Currents.csv
08/01/2024 15:00,9,-0.022,-1.287333333,1.288,180.979,KNW05_Currents.csv
08/01/2024 16:00,9,-0.032,-1.504666667,1.505,181.218,KNW05_Currents.csv
08/01/2024 17:00,9,0.39,-0.484,0.622,141.139,KNW05_Currents.csv
08/01/2024 18:00,9,0.504666667,-0.649333333,0.822,142.145,KNW05_Currents.csv
08/01/2024 19:00,9,0.566666667,-0.806666667,0.986,144.913,KNW05_Currents.csv
08/01/2024 20:00,9,0.651333333,-1.477333333,1.615,156.208,KNW05_Currents.csv
08/01/2024 21:00,9,0.272666667,-1.676666667,1.699,170.763,KNW05_Currents.csv
08/01/2024 22:00,9,0.657333333,-1.916666667,2.026,161.07,KNW05_Currents.csv
08/01/2024 23:00,9,0.716,-2.218666667,2.331,162.114,KNW05_Currents.csv
09/01/2024 00:00,9,0.796666667,1.906,2.066,22.684,KNW06_Currents.csv
09/01/2024 01:00,9,0.184666667,1.452,1.464,7.248,KNW06_Currents.csv
09/01/2024 02:00,9,0.702666667,0.503333333,0.864,54.385,KNW06_Currents.csv
09/01/2024 03:00,9,0.422,-0.084,0.43,101.258,KNW06_Currents.csv
09/01/2024 04:00,9,0.631333333,-0.063333333,0.635,95.729,KNW06_Currents.csv
09/01/2024 05:00,9,-0.226,-0.075333333,0.238,251.565,KNW06_Currents.csv
09/01/2024 06:00,9,-0.325333333,-0.294666667,0.439,227.832,KNW06_Currents.csv
09/01/2024 07:00,9,-0.196,-0.245333333,0.314,218.622,KNW06_Currents.csv
09/01/2024 08:00,9,-0.227333333,-0.120666667,0.257,242.041,KNW06_Currents.csv
09/01/2024 09:00,9,-0.084666667,-0.458,0.466,190.474,KNW06_Currents.csv
09/01/2024 10:00,9,-1.412666667,0.469333333,1.489,288.378,KNW06_Currents.csv
09/01/2024 11:00,9,-2.069333333,0.823333333,2.227,291.696,KNW06_Currents.csv
09/01/2024 12:00,9,-1.927333333,0.856,2.109,293.948,KNW06_Currents.csv
09/01/2024 13:00,9,-1.232,0.775333333,1.456,302.183,KNW06_Currents.csv
09/01/2024 14:00,9,-1.946,0.667333333,2.057,288.928,KNW06_Currents.csv
09/01/2024 15:00,9,-1.559333333,1.73,2.329,317.97,KNW06_Currents.csv
09/01/2024 16:00,9,-1.557333333,1.817333333,2.393,319.406,KNW06_Currents.csv
09/01/2024 17:00,9,-1.151333333,1.193333333,1.658,316.026,KNW06_Currents.csv
09/01/2024 18:00,9,-1.022666667,1.283333333,1.641,321.449,KNW06_Currents.csv
09/01/2024 19:00,9,-0.401333333,1.297333333,1.358,342.81,KNW06_Currents.csv
09/01/2024 20:00,9,-0.114666667,1.697333333,1.701,356.135,KNW06_Currents.csv
09/01/2024 21:00,9,1.068,1.990666667,2.259,28.214,KNW06_Currents.csv
09/01/2024 22:00,9,1.33,2.188,2.561,31.294,KNW06_Currents.csv
09/01/2024 23:00,9,0.586,2.26,2.335,14.536,KNW06_Currents.csv
