time,Hs (m),Tp (sec),DirPeak(deg),Depth(mm),H1/10 (m),Tmean (sec),Dmean (deg),source_file,Dmean
01/02/2024 09:00,0.4,8.5,241,18827,0.51,4.9,280,KNW02_Waves.xlsx,
01/02/2024 10:00,0.34,8.5,13,18804,0.43,5.3,358,KNW02_Waves.xlsx,
01/02/2024 11:00,0.31,8.5,193,18796,0.39,5.4,182,KNW02_Waves.xlsx,
01/02/2024 12:00,0.48,2,349,18807,0.61,3.2,55,KNW02_Waves.xlsx,
01/02/2024 13:00,0.18,7.5,17,18806,0.23,10.7,40,KNW02_Waves.xlsx,
01/02/2024 14:00,0.23,9.8,277,18807,0.29,9.7,276,KNW02_Waves.xlsx,
01/02/2024 15:00,0.18,6.7,301,18817,0.23,9.6,331,KNW02_Waves.xlsx,
01/02/2024 16:00,0.4,8.5,193,18806,0.51,6,198,KNW02_Waves.xlsx,
01/02/2024 17:00,0.42,7.5,70,18821,0.53,5.5,73,KNW02_Waves.xlsx,
01/02/2024 18:00,0.43,8.5,293,18812,0.55,5.8,325,KNW02_Waves.xlsx,
01/02/2024 19:00,0.48,8.5,257,18820,0.61,4.2,304,KNW02_Waves.xlsx,
01/02/2024 20:00,0.47,7.5,319,18819,0.6,5,27,KNW02_Waves.xlsx,
01/02/2024 21:00,0.57,8.5,257,18827,0.73,4.2,297,KNW02_Waves.xlsx,
01/02/2024 22:00,0.35,8.5,169,18825,0.44,6.6,99,KNW02_Waves.xlsx,
01/02/2024 23:00,0.36,7.5,205,18823,0.45,6.1,173,KNW02_Waves.xlsx,
02/02/2024 00:00,0.32,6.1,329,18823,0.4,6.8,6,KNW02_Waves.xlsx,
02/02/2024 01:00,0.38,2.3,179,18825,0.49,5.2,190,KNW02_Waves.xlsx,
02/02/2024 02:00,0.43,6.7,37,18830,0.55,4.6,1,KNW02_Waves.xlsx,
02/02/2024 03:00,0.29,8.5,77,18831,0.36,7,99,KNW02_Waves.xlsx,
02/02/2024 04:00,0.41,8.5,45,18826,0.53,5.3,28,KNW02_Waves.xlsx,
02/02/2024 05:00,0.17,8.5,73,18849,0.22,8.1,3,KNW02_Waves.xlsx,
02/02/2024 06:00,0.51,7.5,331,18845,0.65,5,354,KNW02_Waves.xlsx,
02/02/2024 07:00,0.13,11.5,17,18856,0.17,12.3,346,KNW02_Waves.xlsx,
02/02/2024 08:00,0.33,6.1,337,18856,0.42,6.8,37,KNW02_Waves.xlsx,
02/02/2024 09:00,0.77,5.5,-1,18860,0.97,5.8,-1,KNW02_Waves.xlsx,
02/02/2024 10:00,0.48,7.5,313,18852,0.61,4.1,328,KNW02_Waves.xlsx,
02/02/2024 11:00,0.29,8.5,293,18844,0.38,8.2,299,KNW02_Waves.xlsx,
02/02/2024 12:00,0.37,2,314,18838,0.47,3.4,283,KNW02_Waves.xlsx,
02/02/2024 13:00,0.15,18,213,18840,0.2,15.4,187,KNW02_Waves.xlsx,
02/02/2024 14:00,0.18,9.8,201,18850,0.23,12.5,159,KNW02_Waves.xlsx,
02/02/2024 15:00,0.21,11.5,61,18849,0.27,8,61,KNW02_Waves.xlsx,
02/02/2024 16:00,0.58,8.5,258,18863,0.73,4.8,263,KNW02_Waves.xlsx,
02/02/2024 17:00,0.72,8.5,217,18870,0.91,4.5,212,KNW02_Waves.xlsx,
02/02/2024 18:00,0.47,6.7,33,18880,0.6,4.9,331,KNW02_Waves.xlsx,
02/02/2024 19:00,0.51,8.5,135,18878,0.65,4,182,KNW02_Waves.xlsx,
02/02/2024 20:00,0.42,7.5,225,18890,0.54,5.4,204,KNW02_Waves.xlsx,
02/02/2024 21:00,0.51,8.5,233,18889,0.65,4.4,243,KNW02_Waves.xlsx,
02/02/2024 22:00,0.57,2,278,18881,0.73,3.6,215,KNW02_Waves.xlsx,
02/02/2024 23:00,0.34,7.5,9,18881,0.43,5.3,359,KNW02_Waves.xlsx,
03/02/2024 00:00,0.4,7.5,105,18899,0.51,4.4,95,KNW02_Waves.xlsx,
03/02/2024 01:00,0.46,1.9,247,18878,0.58,3.9,335,KNW02_Waves.xlsx,
03/02/2024 02:00,0.26,6.7,345,18881,0.33,6.2,325,KNW02_Waves.xlsx,
03/02/2024 03:00,0.39,8.5,29,18897,0.5,6.8,19,KNW02_Waves.xlsx,
03/02/2024 04:00,0.42,2,89,18898,0.53,4.2,95,KNW02_Waves.xlsx,
03/02/2024 05:00,0.25,2,68,18903,0.32,3.4,97,KNW02_Waves.xlsx,
03/02/2024 06:00,0.29,8.5,225,18911,0.37,5.7,202,KNW02_Waves.xlsx,
03/02/2024 07:00,0.15,11.5,121,18916,0.19,14.4,114,KNW02_Waves.xlsx,
03/02/2024 08:00,0.53,2,229,18917,0.67,4.1,344,KNW02_Waves.xlsx,
03/02/2024 09:00,0.62,8.5,177,18918,0.79,3.6,227,KNW02_Waves.xlsx,
03/02/2024 10:00,0.26,8.5,89,18906,0.33,6,88,KNW02_Waves.xlsx,
03/02/2024 11:00,0.44,7.5,165,18910,0.55,5.5,139,KNW02_Waves.xlsx,
03/02/2024 12:00,0.69,1.9,317,18912,0.88,3.2,189,KNW02_Waves.xlsx,
03/02/2024 13:00,0.61,8.5,117,18914,0.78,4.1,93,KNW02_Waves.xlsx,
03/02/2024 14:00,0.39,2.2,121,18912,0.5,4.1,110,KNW02_Waves.xlsx,
03/02/2024 15:00,0.36,8.5,265,18911,0.46,5.6,316,KNW02_Waves.xlsx,
03/02/2024 16:00,0.51,8.5,23,18923,0.65,5.7,15,KNW02_Waves.xlsx,
03/02/2024 17:00,0.55,2,157,18943,0.69,4,120,KNW02_Waves.xlsx,
03/02/2024 18:00,0.48,2,333,18938,0.61,3.5,20,KNW02_Waves.xlsx,
03/02/2024 19:00,0.56,8.5,321,18927,0.71,4.2,325,KNW02_Waves.xlsx,
03/02/2024 20:00,0.38,7.5,317,18948,0.49,5.4,324,KNW02_Waves.xlsx,
03/02/2024 21:00,0.25,8.5,249,18950,0.32,6,241,KNW02_Waves.xlsx,
03/02/2024 22:00,0.39,2.2,143,18949,0.5,3.6,209,KNW02_Waves.xlsx,
03/02/2024 23:00,0.21,3.6,168,18938,0.27,5.3,127,KNW02_Waves.xlsx,
04/02/2024 00:00,0.24,11.5,173,18944,0.3,9.9,127,KNW02_Waves.xlsx,
04/02/2024 01:00,0.3,8.5,269,18946,0.39,6.8,281,KNW02_Waves.xlsx,
04/02/2024 02:00,0.1,9.8,69,18952,0.13,14.9,101,KNW02_Waves.xlsx,
04/02/2024 03:00,0.34,8.5,265,18948,0.44,7.3,283,KNW02_Waves.xlsx,
04/02/2024 04:00,0.33,2.1,67,18963,0.42,4.6,355,KNW02_Waves.xlsx,
04/02/2024 05:00,0.2,2.3,133,18978,0.25,3.5,146,KNW02_Waves.xlsx,
04/02/2024 06:00,0.2,8.5,45,18986,0.25,11.4,47,KNW02_Waves.xlsx,
04/02/2024 07:00,0.18,18,261,18978,0.23,9.8,291,KNW02_Waves.xlsx,
04/02/2024 08:00,0.3,25,61,18988,0.38,5.7,43,KNW02_Waves.xlsx,
04/02/2024 09:00,0.4,2.2,57,18990,0.51,3.7,124,KNW02_Waves.xlsx,
04/02/2024 10:00,0.33,7.5,201,18974,0.42,6.2,205,KNW02_Waves.xlsx,
04/02/2024 11:00,0.17,9.8,61,18976,0.21,9.8,74,KNW02_Waves.xlsx,
04/02/2024 12:00,0.18,7.5,313,18970,0.23,6,335,KNW02_Waves.xlsx,
04/02/2024 13:00,0.11,6.1,257,18975,0.14,8,278,KNW02_Waves.xlsx,
04/02/2024 14:00,0.27,2.7,238,18992,0.34,4.7,293,KNW02_Waves.xlsx,
04/02/2024 15:00,0.17,11.5,125,18984,0.21,6.9,101,KNW02_Waves.xlsx,
04/02/2024 16:00,0.63,2,76,18987,0.81,3.9,46,KNW02_Waves.xlsx,
04/02/2024 17:00,0.52,2,57,19001,0.65,4,136,KNW02_Waves.xlsx,
04/02/2024 18:00,0.27,11.5,353,18992,0.34,6.4,5,KNW02_Waves.xlsx,
04/02/2024 19:00,0.22,8.5,353,19001,0.27,7.3,31,KNW02_Waves.xlsx,
04/02/2024 20:00,0.38,7.5,137,19003,0.48,6.1,78,KNW02_Waves.xlsx,
04/02/2024 21:00,0.23,3,341,19004,0.29,5.4,312,KNW02_Waves.xlsx,
04/02/2024 22:00,0.35,8.5,17,19000,0.45,5,13,KNW02_Waves.xlsx,
04/02/2024 23:00,0.45,8.5,103,19006,0.57,4.7,125,KNW02_Waves.xlsx,
05/02/2024 00:00,0.38,8.5,249,18999,0.49,4.7,251,KNW02_Waves.xlsx,
05/02/2024 01:00,0.42,8.5,109,19012,0.53,4.7,73,KNW02_Waves.xlsx,
05/02/2024 02:00,0.36,8.5,261,19011,0.46,6.5,219,KNW02_Waves.xlsx,
05/02/2024 03:00,0.33,7.5,221,19002,0.41,6.7,147,KNW02_Waves.xlsx,
05/02/2024 04:00,0.47,6.7,193,19029,0.59,4,237,KNW02_Waves.xlsx,
05/02/2024 05:00,0.17,7.5,55,19010,0.22,10.8,52,KNW02_Waves.xlsx,
05/02/2024 06:00,0.34,8.5,165,19035,0.43,5.8,179,KNW02_Waves.xlsx,
